fecha,hora,var_crime,var_frequency,var_amount,var_district
01-01-2023,23:20,THEFT,0.456,0-5,17
02-01-2023,10:20,ASSAULT,1.141,0-5,15
03-01-2023,11:00,BURGLARY,0.881,5-10,16
04-01-2023,11:30,ARSON,0.722,5-10,3
05-01-2023,11:30,HOMICIDE,0.196,0-5,15
06-01-2023,15:20,INTIMIDATION,0.196,0-5,4
07-01-2023,20:00,NARCOTICS,0.079,0-5,11
08-01-2023,15:50,OTHER,1.041,15-20,1
09-01-2023,05:20,THEFT,0.725,5-10,13
10-01-2023,14:30,ASSAULT,0.853,0-5,17
11-01-2023,19:40,BURGLARY,0.034,5-10,6
12-01-2023,11:20,ARSON,1.164,5-10,9
13-01-2023,14:30,HOMICIDE,1.001,0-5,4
14-01-2023,05:40,INTIMIDATION,0.263,0-5,14
15-01-2023,23:59,NARCOTICS,0.226,0-5,14
16-01-2023,00:10,OTHER,0.228,5-10,11
17-01-2023,12:20,THEFT,0.372,20-25,2
18-01-2023,02:30,ASSAULT,0.634,15-20,12
19-01-2023,11:00,BURGLARY,0.524,10-15,10
20-01-2023,10:20,ARSON,0.357,5-10,3
21-01-2023,11:40,HOMICIDE,0.738,0-5,4
22-01-2023,11:10,INTIMIDATION,0.176,10-15,2
23-01-2023,11:40,NARCOTICS,0.358,5-10,6
26-01-2023,15:50,OTHER,0.446,0-5,6
27-01-2023,09:10,THEFT,0.553,0-5,1
28-01-2023,10:50,ASSAULT,0.944,5-10,16
29-01-2023,14:40,BURGLARY,0.248,5-10,4
30-01-2023,14:00,ARSON,0.622,5-10,12
31-01-2023,12:50,HOMICIDE,0.715,0-5,3
01-02-2023,12:20,INTIMIDATION,0.065,0-5,15
02-02-2023,13:10,NARCOTICS,0.733,5-10,2
03-02-2023,15:20,OTHER,0.213,0-5,14
04-02-2023,12:50,THEFT,0.087,5-10,1
05-02-2023,14:10,ASSAULT,1.139,5-10,11
06-02-2023,13:10,BURGLARY,1.159,5-10,8
07-02-2023,10:20,ARSON,0.972,5-10,3
08-02-2023,12:40,HOMICIDE,0.372,10-15,6
09-02-2023,01:20,INTIMIDATION,0.126,5-10,7
10-02-2023,11:20,NARCOTICS,0.824,10-15,18
11-02-2023,13:10,OTHER,0.534,10-15,1
12-02-2023,12:10,THEFT,0.155,5-10,16
13-02-2023,13:10,ASSAULT,0.599,10-15,1
14-02-2023,11:20,BURGLARY,0.051,15-20,11
15-02-2023,01:10,ARSON,1.092,5-10,17
16-02-2023,15:30,HOMICIDE,0.318,5-10,10
17-02-2023,13:40,INTIMIDATION,0.798,10-15,12
18-02-2023,11:50,NARCOTICS,0.381,10-15,9
19-02-2023,10:40,OTHER,0.629,5-10,10
20-02-2023,11:40,THEFT,0.661,5-10,2
21-02-2023,15:00,ASSAULT,0.23,5-10,4
22-02-2023,12:40,BURGLARY,1.164,5-10,17
23-02-2023,12:30,ARSON,0.932,5-10,9
24-02-2023,14:00,HOMICIDE,1.128,0-5,1
25-02-2023,15:00,INTIMIDATION,1.075,5-10,3
26-02-2023,16:30,NARCOTICS,0.722,5-10,17
27-02-2023,14:50,OTHER,1.107,5-10,12
28-02-2023,10:40,THEFT,0.115,0-5,7
01-03-2023,15:20,ASSAULT,0.243,5-10,1
02-03-2023,12:20,BURGLARY,0.064,5-10,4
03-03-2023,14:10,ARSON,0.397,0-5,18
04-03-2023,13:50,HOMICIDE,0.473,5-10,1
05-03-2023,20:50,INTIMIDATION,0.333,0-5,4
06-03-2023,19:10,NARCOTICS,0.996,5-10,15
07-03-2023,14:20,OTHER,0.435,5-10,12
08-03-2023,15:40,THEFT,0.344,5-10,13
09-03-2023,15:40,ASSAULT,0.656,10-15,7
10-03-2023,14:10,BURGLARY,0.178,0-5,8
11-03-2023,13:20,ARSON,0.965,5-10,2
12-03-2023,01:20,HOMICIDE,0.099,0-5,1
13-03-2023,16:00,INTIMIDATION,1.184,5-10,4
14-03-2023,16:10,NARCOTICS,0.929,5-10,16
15-03-2023,13:10,OTHER,0.246,5-10,4
16-03-2023,15:00,THEFT,0.017,5-10,16
17-03-2023,15:00,ASSAULT,0.98,5-10,6
18-03-2023,10:50,BURGLARY,0.851,5-10,18
19-03-2023,15:20,ARSON,0.878,0-5,15
20-03-2023,12:40,HOMICIDE,0.928,5-10,7
21-03-2023,16:10,INTIMIDATION,0.098,0-5,8
22-03-2023,12:20,NARCOTICS,0.437,5-10,9
23-03-2023,14:20,OTHER,0.148,5-10,3
24-03-2023,12:30,THEFT,1.037,5-10,16
25-03-2023,15:00,ASSAULT,0.752,5-10,7
26-03-2023,13:20,BURGLARY,0.404,5-10,8
27-03-2023,17:00,ARSON,0.086,0-5,2
28-03-2023,13:40,HOMICIDE,0.38,5-10,1
29-03-2023,09:00,INTIMIDATION,0.397,5-10,11
30-03-2023,15:00,NARCOTICS,0.878,5-10,8
31-03-2023,22:00,OTHER,0.769,5-10,11
01-04-2023,13:20,THEFT,1.066,10-15,13
02-04-2023,00:20,ASSAULT,0.572,5-10,3
03-04-2023,16:00,BURGLARY,0.152,0-5,9
04-04-2023,15:30,ARSON,0.859,5-10,12
05-04-2023,13:00,HOMICIDE,0.915,5-10,10
06-04-2023,15:20,INTIMIDATION,0.678,5-10,10
07-04-2023,13:10,NARCOTICS,0.927,5-10,10
08-04-2023,02:20,OTHER,0.598,0-5,16
09-04-2023,17:20,THEFT,0.632,5-10,11
10-04-2023,13:30,ASSAULT,0.519,5-10,11
11-04-2023,15:00,BURGLARY,0.04,5-10,3
12-04-2023,15:00,ARSON,0.138,10-15,6
13-04-2023,03:20,HOMICIDE,0.047,10-15,10
14-04-2023,12:40,INTIMIDATION,0.767,10-15,18
15-04-2023,05:30,NARCOTICS,0.384,5-10,17
16-04-2023,09:50,OTHER,0.615,10-15,14
17-04-2023,11:20,THEFT,1.09,5-10,16
18-04-2023,05:00,ASSAULT,0.307,5-10,6
19-04-2023,05:30,BURGLARY,0.498,5-10,3
20-04-2023,14:20,ARSON,0.909,0-5,12
21-04-2023,15:40,HOMICIDE,0.282,5-10,1
22-04-2023,11:40,INTIMIDATION,0.102,5-10,4
23-04-2023,15:10,NARCOTICS,0.355,5-10,15
24-04-2023,15:00,OTHER,0.202,5-10,15
25-04-2023,13:00,THEFT,1.116,5-10,9
26-04-2023,16:50,ASSAULT,0.972,5-10,5
27-04-2023,13:50,BURGLARY,0.764,5-10,3
28-04-2023,12:30,ARSON,1.047,5-10,16
29-04-2023,16:40,HOMICIDE,0.966,10-15,9
30-04-2023,15:30,INTIMIDATION,0.232,0-5,10
01-05-2023,13:30,NARCOTICS,1.072,5-10,12
02-05-2023,13:50,OTHER,0.652,5-10,11
03-05-2023,14:40,THEFT,0.971,5-10,1
04-05-2023,12:20,ASSAULT,1.076,0-5,18
05-05-2023,14:50,BURGLARY,0.388,5-10,11
06-05-2023,15:40,ARSON,0.141,5-10,14
07-05-2023,00:20,HOMICIDE,0.281,5-10,12
08-05-2023,15:20,INTIMIDATION,0.518,5-10,8
09-05-2023,16:50,NARCOTICS,0.983,10-15,18
10-05-2023,13:30,OTHER,1.034,5-10,16
11-05-2023,17:00,THEFT,0.018,5-10,16
12-05-2023,16:10,ASSAULT,0.618,5-10,7
13-05-2023,06:40,BURGLARY,0.507,10-15,5
14-05-2023,14:30,ARSON,0.274,0-5,2
15-05-2023,15:30,HOMICIDE,0.153,0-5,8
16-05-2023,11:10,INTIMIDATION,0.412,5-10,8
17-05-2023,16:00,NARCOTICS,1.132,5-10,7
18-05-2023,18:00,OTHER,0.395,5-10,16
19-05-2023,13:20,THEFT,0.627,5-10,7
20-05-2023,14:10,ASSAULT,0.847,5-10,10
21-05-2023,12:30,BURGLARY,0.443,5-10,5
22-05-2023,12:40,ARSON,1.166,0-5,14
23-05-2023,15:40,HOMICIDE,1.155,0-5,9
24-05-2023,13:10,INTIMIDATION,0.31,0-5,2
25-05-2023,17:30,NARCOTICS,0.602,5-10,6
26-05-2023,10:30,OTHER,0.368,5-10,11
27-05-2023,15:30,THEFT,0.349,5-10,3
28-05-2023,13:10,ASSAULT,0.054,5-10,17
29-05-2023,16:50,BURGLARY,0.735,5-10,14
30-05-2023,18:10,ARSON,0.608,5-10,18
31-05-2023,13:50,HOMICIDE,0.071,0-5,11
01-06-2023,14:10,INTIMIDATION,0.342,5-10,17
02-06-2023,17:20,NARCOTICS,1.091,0-5,17
03-06-2023,14:00,OTHER,0.295,0-5,14
04-06-2023,14:50,THEFT,0.182,0-5,11
05-06-2023,15:40,ASSAULT,0.592,5-10,9
