Date,Concentration,Precipitation,Wind_velocity,Wind_direction,Temperature,Humidity,Month,Week,Wind_direction_cardinality,Year,Seasons
2015-05-07,18.17,0.0,1.0,14.0,17.4,71.67,5,19,N,2015,Fall
2015-05-08,15.28,0.0,2.4,12.33,17.43,70.0,5,19,N,2015,Fall
2015-05-13,14.76,0.0,2.07,18.0,16.85,79.5,5,20,N,2015,Fall
2015-05-15,32.79,0.0,1.37,6.0,17.08,72.33,5,20,N,2015,Fall
2015-05-18,19.11,0.0,0.67,9.0,18.04,78.0,5,21,N,2015,Fall
2015-05-20,18.4,0.1,1.0,7.67,18.41,79.33,5,21,N,2015,Fall
2015-05-22,17.57,0.0,0.33,1.67,19.59,71.0,5,21,N,2015,Fall
2015-05-25,29.35,0.0,0.67,12.33,20.72,55.0,5,22,N,2015,Fall
2015-05-27,31.68,0.0,1.37,12.33,21.1,68.67,5,22,N,2015,Fall
2015-05-29,14.01,7.2,0.33,4.5,15.73,74.5,5,22,N,2015,Fall
2015-06-02,18.87,0.7,1.7,14.0,17.04,87.67,6,23,N,2015,Fall
2015-06-04,16.5,0.0,0.67,7.0,18.64,73.0,6,23,N,2015,Fall
2015-06-10,27.74,0.0,0.67,12.33,18.78,59.0,6,24,N,2015,Fall
2015-06-12,35.53,0.0,1.0,12.33,19.29,69.67,6,24,N,2015,Fall
2015-06-15,15.92,0.0,1.37,15.33,16.83,85.0,6,25,N,2015,Fall
2015-06-17,23.99,0.0,0.0,0.0,21.11,70.0,6,25,N,2015,Fall
2015-06-19,14.64,0.6,20.7,14.0,15.48,73.5,6,25,N,2015,Fall
2015-06-23,23.0,0.0,1.0,7.67,18.25,71.33,6,26,N,2015,Winter
2015-06-25,22.35,0.0,3.43,13.67,16.18,70.0,6,26,N,2015,Winter
2015-06-29,19.24,0.0,1.0,6.33,18.1,63.0,6,27,N,2015,Winter
2015-07-01,16.37,1.2,0.67,3.33,16.33,73.0,7,27,N,2015,Winter
2015-07-03,13.49,0.0,1.0,18.33,18.82,78.33,7,27,N,2015,Winter
2015-07-13,21.63,0.0,1.7,15.33,22.0,53.0,7,29,N,2015,Winter
2015-07-31,32.78,0.0,1.87,16.67,19.14,55.0,7,31,N,2015,Winter
2015-08-03,30.71,0.0,1.0,25.67,19.29,55.33,8,32,NE,2015,Winter
2015-08-05,35.98,0.0,0.67,3.33,19.37,47.0,8,32,N,2015,Winter
2015-08-07,33.97,0.0,0.67,6.33,21.07,46.33,8,32,N,2015,Winter
2015-08-11,29.51,0.0,1.7,7.67,19.43,55.67,8,33,N,2015,Winter
2015-08-13,33.98,0.0,2.03,16.67,18.22,53.33,8,33,N,2015,Winter
2015-08-17,26.07,0.0,1.7,6.33,21.55,49.0,8,34,N,2015,Winter
2015-08-19,39.75,0.0,1.0,21.33,20.95,49.0,8,34,N,2015,Winter
2015-08-21,28.67,0.0,0.67,7.0,18.16,55.0,8,34,N,2015,Winter
2015-08-25,15.92,0.0,2.4,12.0,16.97,81.33,8,35,N,2015,Winter
2015-08-27,15.96,0.0,2.07,22.5,16.55,78.0,8,35,NE,2015,Winter
2015-08-31,32.72,0.0,0.33,1.67,23.02,46.33,8,36,N,2015,Winter
2015-09-02,32.06,0.0,1.7,12.33,20.29,69.67,9,36,N,2015,Winter
2015-09-04,37.09,0.0,1.7,21.33,21.14,50.0,9,36,N,2015,Winter
2015-09-08,12.92,23.9,2.73,18.0,17.96,82.67,9,37,N,2015,Winter
2015-09-10,11.17,0.0,1.0,6.33,17.81,94.33,9,37,N,2015,Winter
2015-09-16,28.69,0.0,1.37,21.0,26.07,57.33,9,38,N,2015,Winter
2015-09-18,30.85,0.0,0.33,12.0,26.32,40.33,9,38,N,2015,Winter
2015-09-21,32.14,0.0,1.37,13.67,24.6,39.67,9,39,N,2015,Spring
2015-09-22,34.01,0.0,0.67,6.0,25.58,35.67,9,39,N,2015,Spring
2015-09-24,53.84,0.0,0.67,21.0,26.15,39.67,9,39,N,2015,Spring
2015-09-28,24.73,29.8,1.0,24.0,19.72,81.33,9,40,NE,2015,Spring
2015-09-30,21.45,3.2,1.0,24.33,22.28,85.33,9,40,NE,2015,Spring
2015-10-06,29.5,0.0,1.7,16.67,22.68,59.33,10,41,N,2015,Spring
2015-10-08,27.76,0.0,1.0,18.0,26.96,54.0,10,41,N,2015,Spring
2015-10-12,21.64,0.0,0.0,0.0,22.24,0.0,10,42,N,2015,Spring
2015-10-14,38.38,0.0,1.7,15.33,26.84,47.67,10,42,N,2015,Spring
2015-10-16,12.57,0.0,0.33,1.67,28.65,37.67,10,42,N,2015,Spring
2015-10-20,55.05,0.0,1.7,15.33,28.58,49.33,10,43,N,2015,Spring
2015-10-22,23.08,0.0,1.7,13.67,23.89,50.33,10,43,N,2015,Spring
2015-10-26,15.45,20.2,1.7,22.67,22.22,77.0,10,44,NE,2015,Spring
2015-10-28,21.53,1.3,0.33,4.67,21.38,84.67,10,44,N,2015,Spring
2015-11-03,16.28,33.6,1.0,25.67,21.34,91.33,11,45,NE,2015,Spring
2015-11-11,28.67,0.0,0.0,0.0,23.37,78.0,11,46,N,2015,Spring
2015-11-13,27.58,0.0,1.7,14.0,25.23,51.5,11,46,N,2015,Spring
2015-11-17,19.13,0.0,0.67,20.5,22.24,65.5,11,47,N,2015,Spring
2015-11-19,19.57,0.0,2.07,31.5,24.45,67.0,11,47,NE,2015,Spring
2015-11-23,18.57,0.0,0.33,18.0,21.24,83.0,11,48,N,2015,Spring
2015-11-25,18.58,17.2,0.67,21.3,19.41,88.67,11,48,N,2015,Spring
2015-11-27,24.73,0.5,1.0,17.0,24.89,63.0,11,48,N,2015,Spring
