fecha,var_oncentration,var_precipitation,var_wind_velocity,var_wind_direction,var_temperature,var_humidity
5/7/2015,18.17,0.0,1.0,14.0,17.4,71.67
5/8/2015,15.28,0.0,2.4,12.33,17.43,70.0
5/13/2015,14.76,0.0,2.07,18.0,16.85,79.5
5/15/2015,32.79,0.0,1.37,6.0,17.08,72.33
5/18/2015,19.11,0.0,0.67,9.0,18.04,78.0
5/20/2015,18.4,0.1,1.0,7.67,18.41,79.33
5/22/2015,17.57,0.0,0.33,1.67,19.59,71.0
5/25/2015,29.35,0.0,0.67,12.33,20.72,55.0
5/27/2015,31.68,0.0,1.37,12.33,21.1,68.67
5/29/2015,14.01,7.2,0.33,4.5,15.73,74.5
6/2/2015,18.87,0.7,1.7,14.0,17.04,87.67
6/4/2015,16.5,0.0,0.67,7.0,18.64,73.0
6/10/2015,27.74,0.0,0.67,12.33,18.78,59.0
6/12/2015,35.53,0.0,1.0,12.33,19.29,69.67
6/15/2015,15.92,0.0,1.37,15.33,16.83,85.0
6/17/2015,23.99,0.0,0.0,0.0,21.11,70.0
6/19/2015,14.64,0.6,20.7,14.0,15.48,73.5
6/23/2015,23.0,0.0,1.0,7.67,18.25,71.33
6/25/2015,22.35,0.0,3.43,13.67,16.18,70.0
6/29/2015,19.24,0.0,1.0,6.33,18.1,63.0
7/1/2015,16.37,1.2,0.67,3.33,16.33,73.0
7/3/2015,13.49,0.0,1.0,18.33,18.82,78.33
7/13/2015,21.63,0.0,1.7,15.33,22.0,53.0
7/31/2015,32.78,0.0,1.87,16.67,19.14,55.0
8/3/2015,30.71,0.0,1.0,25.67,19.29,55.33
8/5/2015,35.98,0.0,0.67,3.33,19.37,47.0
8/7/2015,33.97,0.0,0.67,6.33,21.07,46.33
8/11/2015,29.51,0.0,1.7,7.67,19.43,55.67
8/13/2015,33.98,0.0,2.03,16.67,18.22,53.33
8/17/2015,26.07,0.0,1.7,6.33,21.55,49.0
8/19/2015,39.75,0.0,1.0,21.33,20.95,49.0
8/21/2015,28.67,0.0,0.67,7.0,18.16,55.0
8/25/2015,15.92,0.0,2.4,12.0,16.97,81.33
8/27/2015,15.96,0.0,2.07,22.5,16.55,78.0
8/31/2015,32.72,0.0,0.33,1.67,23.02,46.33
9/2/2015,32.06,0.0,1.7,12.33,20.29,69.67
9/4/2015,37.09,0.0,1.7,21.33,21.14,50.0
9/8/2015,12.92,23.9,2.73,18.0,17.96,82.67
9/10/2015,11.17,0.0,1.0,6.33,17.81,94.33
9/16/2015,28.69,0.0,1.37,21.0,26.07,57.33
9/18/2015,30.85,0.0,0.33,12.0,26.32,40.33
9/21/2015,32.14,0.0,1.37,13.67,24.6,39.67
9/22/2015,34.01,0.0,0.67,6.0,25.58,35.67
9/24/2015,53.84,0.0,0.67,21.0,26.15,39.67
9/28/2015,24.73,29.8,1.0,24.0,19.72,81.33
9/30/2015,21.45,3.2,1.0,24.33,22.28,85.33
10/6/2015,29.5,0.0,1.7,16.67,22.68,59.33
10/8/2015,27.76,0.0,1.0,18.0,26.96,54.0
10/12/2015,21.64,0.0,0.0,0.0,22.24,0.0
10/14/2015,38.38,0.0,1.7,15.33,26.84,47.67
10/16/2015,12.57,0.0,0.33,1.67,28.65,37.67
10/20/2015,55.05,0.0,1.7,15.33,28.58,49.33
10/22/2015,23.08,0.0,1.7,13.67,23.89,50.33
10/26/2015,15.45,20.2,1.7,22.67,22.22,77.0
10/28/2015,21.53,1.3,0.33,4.67,21.38,84.67
11/3/2015,16.28,33.6,1.0,25.67,21.34,91.33
11/11/2015,28.67,0.0,0.0,0.0,23.37,78.0
11/13/2015,27.58,0.0,1.7,14.0,25.23,51.5
11/17/2015,19.13,0.0,0.67,20.5,22.24,65.5
11/19/2015,19.57,0.0,2.07,31.5,24.45,67.0
11/23/2015,18.57,0.0,0.33,18.0,21.24,83.0
11/25/2015,18.58,17.2,0.67,21.3,19.41,88.67
11/27/2015,24.73,0.5,1.0,17.0,24.89,63.0
12/1/2015,24.39,7.4,0.67,4.67,22.9,78.33
12/3/2015,26.49,9.4,1.0,10.67,22.98,86.33
12/7/2015,21.94,10.8,0.5,10.67,21.8,87.0
12/9/2015,22.77,5.6,1.7,24.0,23.19,81.67
12/11/2015,23.43,0.7,1.0,33.33,23.24,78.67
12/15/2015,19.22,0.0,1.7,16.67,22.7,74.67
12/17/2015,20.52,0.0,0.67,18.5,24.87,53.5
12/21/2015,15.8,0.0,0.33,4.5,24.09,58.5
1/5/2016,19.46,1.2,1.37,5.5,23.67,61.5
1/7/2016,25.93,0.0,0.33,4.5,24.81,55.0
1/13/2016,11.02,122.4,0.33,29.5,21.71,92.0
1/15/2016,11.07,36.8,0.17,16.0,21.29,97.0
1/19/2016,18.87,0.0,2.07,16.0,20.75,79.0
1/21/2016,26.37,0.0,1.37,18.0,21.82,63.5
1/25/2016,13.34,0.0,0.0,0.0,23.49,0.0
1/27/2016,20.69,0.2,0.33,16.0,23.0,75.5
1/29/2016,11.73,15.0,0.67,5.0,22.73,85.0
2/2/2016,28.96,0.0,0.5,4.5,26.4,66.5
2/4/2016,27.62,0.0,1.55,11.5,24.38,84.5
2/8/2016,13.77,10.2,0.5,9.0,23.47,74.0
2/10/2016,17.12,0.0,0.5,18.0,25.52,74.5
2/12/2016,18.13,28.4,1.0,9.5,23.18,89.0
2/16/2016,2.7,46.0,2.05,27.0,22.26,92.5
2/18/2016,14.68,5.0,1.0,31.5,23.06,75.5
2/22/2016,12.4,2.4,0.5,36.0,21.91,82.0
